[2020-03-03T14:20:19.436Z] [ip]: ::ffff:192.168.2.39 - [method]: OPTIONS [url]: /api/v1/item/get_item_status HTTP/1.1 [status]: 200 [response-time]: 0.164 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36
[2020-03-03T14:20:19.438Z] [ip]: ::ffff:192.168.2.39 - [method]: OPTIONS [url]: /api/v1/item/get_item_all HTTP/1.1 [status]: 200 [response-time]: 0.158 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36
[2020-03-03T14:20:19.440Z] [ip]: ::ffff:192.168.2.39 - [method]: GET [url]: /api/v1/item/get_item_status HTTP/1.1 [status]: 304 [response-time]: 0.958 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36
[2020-03-03T14:20:19.443Z] [ip]: ::ffff:192.168.2.39 - [method]: GET [url]: /api/v1/item/get_item_all HTTP/1.1 [status]: 304 [response-time]: 2.019 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36
[2020-03-03T14:20:23.352Z] [ip]: ::ffff:192.168.2.39 - [method]: GET [url]: /api/v1/item/get_item_status HTTP/1.1 [status]: 304 [response-time]: 0.787 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36
[2020-03-03T14:20:23.354Z] [ip]: ::ffff:192.168.2.39 - [method]: GET [url]: /api/v1/item/get_item_all HTTP/1.1 [status]: 304 [response-time]: 2.754 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36
[2020-03-03T14:20:59.003Z] [ip]: ::ffff:192.168.2.39 - [method]: OPTIONS [url]: /api/v1/item/get_item_status HTTP/1.1 [status]: 200 [response-time]: 0.168 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36
[2020-03-03T14:20:59.005Z] [ip]: ::ffff:192.168.2.39 - [method]: GET [url]: /api/v1/item/get_item_status HTTP/1.1 [status]: 304 [response-time]: 0.893 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36
[2020-03-03T14:20:59.006Z] [ip]: ::ffff:192.168.2.39 - [method]: OPTIONS [url]: /api/v1/item/get_item_all HTTP/1.1 [status]: 200 [response-time]: 0.155 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36
[2020-03-03T14:20:59.008Z] [ip]: ::ffff:192.168.2.39 - [method]: GET [url]: /api/v1/item/get_item_all HTTP/1.1 [status]: 304 [response-time]: 0.870 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.122 Safari/537.36
